Gender,Age,Height,Weight,family_history_with_overweight,CH2O,FAF,Obesity
0,18,1.77,57,0,2,1,0
1,22,1.7,80,1,1,0,0
0,20,1.51,64.81,0,2,1,0
1,21,1.72,78,1,3,1,0
0,19,1.6,60,1,2,2,0
0,23,1.53,41.22,0,1,1,0
1,39,1.71,75.95,1,3,1,0
1,19,1.8,87.08,1,3,0,0
1,21,1.8,85,0,3,3,0
1,34,1.8,96,1,1,1,0
0,23,1.67,80.46,1,1,1,0
1,34,1.7,85,1,1,1,0
1,22,1.72,80,1,2,1,0
0,23,1.6,61,0,1,0,0
0,19,1.62,45,1,2,1,0
0,21,1.52,42,0,3,0,0
1,23,1.74,53,0,1,3,0
0,21,1.56,48,1,2,2,0
1,27,1.8,85.77,1,2,1,0
1,39,1.82,86.75,1,2,2,0
0,26,1.51,64.81,1,2,1,0
1,34,1.74,84,1,2,1,0
1,22,1.6,68.82,0,3,1,0
1,18,1.7,80,0,2,0,0
1,28,1.78,78,1,2,1,0
0,18,1.78,62,0,1,1,0
0,16,1.59,44.1,0,3,1,0
1,34,1.74,84.69,1,2,2,0
0,19,1.54,41.67,1,1,0,0
1,20,1.8,85,1,3,1,0
0,26,1.56,63,1,1,0,0
0,21,1.55,58,0,1,1,0
1,24,1.7,83.02,1,2,0,0
0,17,1.7,83,1,2,1,0
1,28,1.79,90,1,2,0,0
0,19,1.76,80,1,3,3,0
0,23,1.66,60,0,2,0,0
0,18,1.7,68,1,2,2,0
1,35,1.73,84.77,1,2,2,0
0,19,1.58,45,0,2,3,0
1,21,1.66,62,0,3,1,0
1,21,1.7,80,1,2,3,0
0,19,1.59,73.94,1,2,3,0
0,23,1.7,51.31,1,2,1,0
1,22,1.7,84,1,2,3,0
0,18,1.62,69.39,1,2,0,0
0,33,1.56,74.96,1,1,1,0
0,17,1.57,50,0,1,1,0
0,17,1.57,45,0,3,3,0
1,21,1.65,70,1,3,3,0
0,19,1.51,45,1,1,1,0
1,32,1.79,83.95,1,2,2,0
0,23,1.56,56,1,2,2,0
0,19,1.56,39.7,0,2,2,0
1,17,1.71,95.96,1,2,1,0
0,17,1.71,65,1,2,0,0
1,24,1.7,87,1,3,3,0
1,41,1.86,87.07,1,3,1,0
1,18,1.71,50,0,2,0,0
0,18,1.62,68,0,2,1,0
1,20,1.68,75,1,2,1,0
1,21,1.78,79,1,2,3,0
0,18,1.5,50,0,1,1,0
1,18,1.8,80,1,1,0,0
1,17,1.76,58.59,1,2,2,0
0,18,1.74,52,0,2,1,0
0,38,1.56,62.63,1,3,2,0
1,23,1.7,75,1,2,2,0
0,23,1.79,50.75,1,2,2,0
0,17,1.65,49.6,1,2,0,0
0,18,1.67,60,1,2,2,0
0,18,1.65,60,0,2,1,0
1,23,1.71,75.48,1,1,1,0
1,21,1.75,89.65,1,3,0,0
0,23,1.7,78,1,1,1,0
1,24,1.61,64.7,1,3,0,0
1,18,1.8,60,1,2,1,0
0,19,1.66,58,1,2,2,0
1,18,1.7,50,0,1,2,0
1,23,1.7,75,0,2,1,0
0,16,1.64,65,0,2,0,0
0,20,1.69,50.42,0,1,1,0
1,21,1.7,70,1,2,0,0
1,18,1.76,52,0,2,1,0
1,20,1.84,85.31,1,3,2,0
1,21,1.67,75,1,1,1,0
0,20,1.7,49.87,1,1,1,0
1,17,1.85,85,1,3,2,0
0,21,1.6,75,1,2,1,0
1,34,1.7,83.41,1,2,1,0
1,22,1.7,70,0,2,1,0
0,23,1.56,63,1,2,1,0
0,20,1.64,62.63,0,3,1,0
1,34,1.7,83.33,1,3,1,0
0,17,1.75,49.93,0,1,2,0
0,20,1.6,65,0,2,0,0
0,34,1.68,77.03,1,2,0,0
1,21,1.8,75,1,2,3,0
1,22,1.85,88.63,1,2,2,0
0,20,1.69,49.98,1,3,2,0
1,22,1.71,80.38,1,2,0,0
0,20,1.55,72.47,1,2,2,0
0,23,1.57,58,1,1,1,0
0,17,1.57,39.85,0,2,2,0
0,16,1.62,65.06,1,1,0,0
1,22,1.81,70,1,2,1,0
0,18,1.56,51.5,0,1,1,0
1,22,1.8,60,1,2,0,0
1,20,1.73,85.31,1,2,0,0
0,23,1.65,78,1,2,1,0
1,31,1.73,81.98,1,2,1,0
0,35,1.74,90,1,3,1,0
1,18,1.83,51.73,1,1,0,0
0,19,1.56,50,0,1,0,0
1,21,1.65,88.13,1,3,1,0
1,17,1.8,87,0,2,3,0
1,21,1.84,87.28,1,2,2,0
0,21,1.62,68.77,1,2,1,0
1,40,1.5,62,1,2,1,0
0,34,1.65,79.7,1,2,0,0
0,21,1.6,70,0,3,1,0
0,22,1.55,62,0,1,2,0
0,22,1.72,52,1,1,2,0
1,26,1.84,91.07,1,2,0,0
1,17,1.85,59,1,1,2,0
1,33,1.66,83.1,1,1,0,0
0,37,1.77,79.11,1,2,0,0
0,19,1.72,79.44,1,3,0,0
1,16,1.75,50,0,2,2,0
0,34,1.56,45,0,1,0,0
1,17,1.6,45,0,2,2,0
0,41,1.55,77,1,1,0,0
1,17,1.74,56,1,2,2,0
1,55,1.7,85,1,2,1,0
1,17,1.84,92,1,2,1,0
1,18,1.8,80,1,2,1,0
1,23,1.67,84,0,3,2,0
0,21,1.54,50,1,3,3,0
1,18,1.8,87,0,2,2,0
1,55,1.7,80,1,2,1,0
0,23,1.72,80.94,1,1,0,0
1,18,1.7,51.44,1,2,1,0
1,22,1.78,55.7,1,3,2,0
1,17,1.7,83.41,1,2,1,0
1,25,1.77,88.13,1,2,1,0
0,26,1.57,57,1,2,0,0
1,17,1.82,58.85,1,2,2,0
0,16,1.62,67.19,1,2,1,0
1,30,1.71,71,1,2,2,0
1,19,1.7,60,0,2,1,0
0,19,1.55,66,1,2,3,0
0,19,1.57,42,0,2,0,0
1,21,1.79,78,1,2,2,0
1,23,1.72,75.69,1,2,0,0
1,25,1.78,78,1,2,2,0
0,23,1.59,44.75,0,3,0,0
1,27,1.8,99,1,3,1,0
1,25,1.8,71,1,2,3,0
1,23,1.79,55.7,1,2,0,0
1,16,1.65,58,0,1,1,0
1,18,1.78,52,1,2,0,0
1,22,1.7,86,1,2,3,0
1,17,1.88,58,0,2,2,0
1,22,1.71,75.97,1,2,0,0
1,19,1.86,87.11,1,2,2,0
0,22,1.6,82.4,1,2,1,0
0,39,1.58,62.63,1,2,1,0
1,19,1.69,50,0,2,2,0
1,23,1.73,83.41,1,2,0,0
1,39,1.77,79.68,1,2,1,0
1,21,1.75,70,0,2,0,0
0,22,1.7,50,1,2,2,0
0,37,1.68,83,1,2,0,0
0,21,1.62,58,1,2,1,0
1,23,1.83,89.99,1,2,0,0
1,21,1.74,72,1,2,2,0
0,21,1.6,66,0,3,0,0
1,18,1.74,50,1,2,0,0
0,19,1.61,59,1,1,1,0
1,23,1.65,60,1,3,0,0
1,19,1.85,75,0,2,2,0
1,25,1.82,85.26,1,3,0,0
1,18,1.6,56,0,2,1,0
0,18,1.59,58,0,2,0,0
1,19,1.62,64,1,2,1,0
1,22,1.7,81.02,1,2,1,0
1,22,1.62,53,1,1,3,0
1,17,1.76,58.83,1,2,2,0
0,20,1.5,65,1,2,3,0
1,22,1.72,75,0,2,1,0
1,35,1.81,90.14,1,2,0,0
1,17,1.84,58.33,1,2,2,0
1,21,1.7,82.92,1,2,1,0
0,17,1.56,55,0,1,1,0
0,20,1.54,41.95,0,1,0,0
0,19,1.63,65,0,1,0,0
1,21,1.75,67,0,3,3,0
0,33,1.65,62,0,2,1,0
0,18,1.52,40,0,1,0,0
0,21,1.57,51,1,1,2,0
1,19,1.8,58,1,2,2,0
1,17,1.72,83,1,2,1,0
0,18,1.56,60,1,2,0,0
0,18,1.6,58,0,2,2,0
1,18,1.75,52.06,1,2,1,0
0,27,1.54,63,1,1,0,0
0,18,1.63,56,1,2,1,0
1,22,1.66,80,1,2,3,0
1,20,1.74,54.93,1,3,1,0
1,28,1.72,82.58,1,2,1,0
1,17,1.8,95,1,2,2,0
1,19,1.79,79,1,2,1,0
1,27,1.75,72,1,2,2,0
1,22,1.74,68,0,2,1,0
1,21,1.66,60,1,2,2,0
1,19,1.73,80,1,1,1,0
1,22,1.74,78.55,1,2,1,0
0,33,1.68,83,1,2,1,0
1,21,1.72,75,1,2,3,0
1,17,1.7,70,0,2,1,0
0,22,1.65,75.4,1,1,1,0
1,21,1.6,80,1,2,0,0
0,28,1.55,72.71,1,2,1,0
0,28,1.68,74.96,1,2,1,0
1,20,1.77,57.79,1,3,2,0
1,20,1.95,60,1,2,3,0
1,21,1.7,68,0,2,3,0
1,31,1.7,78.16,1,2,0,0
0,19,1.53,42,0,1,0,0
1,18,1.83,89.99,1,2,0,0
0,26,1.6,71,1,3,0,0
1,18,1.85,58,1,2,1,0
0,19,1.53,40.34,0,1,0,0
1,24,1.72,83.28,1,2,0,0
1,20,1.85,85,1,2,2,0
0,20,1.69,80,1,2,1,0
1,24,1.72,80,1,2,1,0
0,20,1.69,49.66,0,1,2,0
0,21,1.55,60,1,3,0,0
1,17,1.84,60,1,2,1,0
0,23,1.75,50,1,2,2,0
0,18,1.74,50,1,1,1,0
0,18,1.67,75,1,2,0,0
0,26,1.58,56,0,2,0,0
1,26,1.8,82.58,1,2,1,0
0,18,1.56,51.5,0,2,1,0
1,22,1.85,75,1,2,1,0
1,21,1.75,75,0,3,1,0
0,19,1.62,53,0,2,2,0
0,18,1.63,55,1,1,2,0
1,17,1.76,60,1,2,2,0
0,23,1.73,51.44,1,1,1,0
0,19,1.74,78,1,2,1,0
0,34,1.58,44.32,0,1,0,0
1,23,1.78,64,1,2,1,0
0,27,1.53,63,1,2,0,0
1,22,1.84,84,1,2,3,0
0,18,1.5,50,1,2,1,0
1,35,1.73,84.45,1,2,2,0
0,18,1.56,80,0,2,2,0
0,41,1.54,80,1,1,0,0
1,18,1.69,51.08,1,2,2,0
1,17,1.72,85,1,2,1,0
0,22,1.67,50,1,2,1,0
0,19,1.66,49.84,0,3,2,0
0,18,1.65,68.82,1,2,0,0
1,19,1.81,85,1,1,2,0
1,23,1.86,88.68,1,1,1,0
0,19,1.58,44.38,0,1,0,0
0,19,1.6,45,0,2,1,0
1,35,1.72,83.1,1,2,1,0
1,18,1.8,60,1,2,0,0
0,21,1.61,63,1,1,0,0
0,20,1.49,42,0,1,0,0
0,19,1.6,49,1,1,2,0
1,18,1.72,51.15,1,1,1,0
1,21,1.62,69,0,2,0,0
1,21,1.72,70,0,3,1,0
1,20,1.7,65,1,2,0,0
1,18,1.76,55,0,2,2,0
0,19,1.77,72,0,2,2,0
0,18,1.7,50,0,1,1,0
1,25,1.76,84.73,1,2,1,0
1,24,1.8,73,0,3,1,0
0,22,1.52,42,0,1,0,0
0,21,1.55,57,1,2,2,0
0,38,1.69,79,0,1,1,0
1,21,1.71,70,1,2,1,0
0,18,1.6,68,1,2,1,0
0,21,1.64,68,1,3,1,0
0,18,1.79,49.68,0,2,2,0
0,18,1.6,60,1,1,0,0
1,23,1.68,62,0,2,0,0
1,18,1.7,85,0,2,3,0
0,38,1.7,78.97,1,1,0,0
0,22,1.5,42,0,2,0,0
1,17,1.8,83.01,1,3,2,0
0,16,1.77,50,0,1,2,0
1,24,1.79,86.49,1,2,1,0
0,21,1.66,56,0,3,2,0
1,21,1.7,75,1,3,3,0
1,26,1.7,78,1,2,1,0
0,39,1.5,76.64,1,2,0,0
1,18,1.84,59.93,1,2,2,0
0,19,1.75,56.27,0,2,2,0
0,21,1.73,78.05,1,1,1,0
0,18,1.63,49,0,2,1,0
0,17,1.53,50,0,1,2,0
1,21,1.79,65,0,2,2,0
0,20,1.64,49.65,0,2,2,0
0,18,1.59,53,0,2,0,0
0,21,1.62,68,0,3,1,0
0,19,1.69,60,0,1,2,0
0,18,1.57,69.98,0,2,1,0
1,23,1.7,78,1,1,0,0
1,18,1.72,52,1,2,1,0
0,17,1.58,65,1,3,1,0
1,25,1.7,78,1,2,0,0
0,23,1.63,48,1,1,2,0
0,26,1.65,60,0,2,0,0
1,19,1.86,57.28,1,2,2,0
0,19,1.6,45,0,3,2,0
0,20,1.62,64.11,0,2,0,0
1,23,1.65,66,0,2,3,0
1,19,1.75,76,0,3,3,0
1,23,1.72,81.32,1,2,0,0
1,27,1.7,83,1,3,1,0
0,18,1.6,50,0,1,2,0
0,21,1.53,47,1,2,0,0
1,26,1.86,90,1,2,1,0
1,34,1.82,99,1,2,2,0
1,18,1.69,79.11,1,2,0,0
0,20,1.7,50,1,1,1,0
1,35,1.7,79,0,3,3,0
0,39,1.69,79.28,1,3,0,0
1,23,1.71,71,1,2,3,0
0,22,1.52,44.66,0,2,1,0
1,18,1.85,85,1,3,2,0
0,20,1.6,45,0,2,1,0
0,21,1.58,58,1,1,1,0
1,18,1.72,53.66,1,2,1,0
0,21,1.57,44,0,1,0,0
1,38,1.7,85,1,2,1,0
0,18,1.58,48,1,2,2,0
1,19,1.85,61.26,1,3,1,0
0,19,1.6,60,0,2,2,0
1,33,1.74,83.15,1,2,2,0
1,22,1.7,50,0,2,0,0
1,23,1.68,90,0,2,0,0
1,22,1.65,66.5,0,2,3,0
1,21,1.65,67,0,2,1,0
1,21,1.75,52,1,2,0,0
0,19,1.7,50,1,3,1,0
1,19,1.72,87.28,1,3,2,0
1,20,1.79,85.61,1,2,1,0
0,18,1.58,53,0,1,2,0
1,23,1.83,63,0,2,3,0
0,23,1.6,50,1,2,2,0
1,21,1.76,53.7,1,2,3,0
0,21,1.6,60,1,2,0,0
0,33,1.7,83,1,1,0,0
1,23,1.72,81.65,1,1,0,0
0,22,1.69,65,1,2,0,0
1,38,1.69,80,1,1,3,0
1,33,1.84,97.81,1,2,1,0
0,21,1.61,67.77,1,3,1,0
1,17,1.67,65,1,2,0,0
0,19,1.61,82,1,2,0,0
1,33,1.7,83.2,1,1,1,0
0,51,1.59,50,1,3,2,0
0,25,1.6,58,1,2,0,0
1,22,1.71,75,1,1,1,0
0,19,1.56,49.93,0,1,2,0
0,19,1.74,49.65,0,3,2,0
0,18,1.6,53,0,2,1,0
0,21,1.61,63,1,2,2,0
0,21,1.73,75,1,2,1,0
1,17,1.71,50.28,1,2,1,0
0,19,1.53,42,0,2,0,0
0,21,1.62,64,0,3,1,0
1,23,1.75,84.39,1,2,2,0
1,25,1.78,98,1,2,2,0
0,21,1.71,50,1,2,1,0
1,23,1.77,96.88,1,2,0,0
1,19,1.75,58,0,2,2,0
0,18,1.54,60,1,1,0,0
0,19,1.7,50,1,1,0,0
0,22,1.68,52,0,2,0,0
0,21,1.63,68,1,2,3,0
0,33,1.63,62,1,2,1,0
0,23,1.56,50,0,2,0,0
0,21,1.61,68.87,0,3,1,0
0,24,1.6,51,0,2,2,0
0,27,1.5,62,0,1,0,0
1,27,1.82,85,1,2,2,0
1,18,1.7,52.07,0,2,1,0
1,30,1.85,93.31,1,1,1,0
0,19,1.61,45,0,3,1,0
0,25,1.57,64.85,1,1,1,0
1,17,1.76,59.24,1,2,2,0
0,23,1.67,80.46,1,2,1,0
0,22,1.8,82,0,1,3,0
1,34,1.7,80,1,3,1,0
1,18,1.82,51.46,0,1,1,0
1,18,1.81,58.94,1,2,1,0
1,22,1.66,80,1,2,1,0
0,38,1.54,62.32,1,2,0,0
1,26,1.7,70,1,2,1,0
0,22,1.54,56,1,2,1,0
1,23,1.68,68,0,2,1,0
1,23,1.75,70,0,2,2,0
0,18,1.74,50.17,1,1,0,0
0,23,1.48,60,1,1,0,0
0,20,1.57,41.32,0,1,0,0
0,34,1.65,77.27,1,2,1,0
1,23,1.48,58,1,1,0,0
1,28,1.8,87.8,0,3,1,0
1,34,1.73,84.45,1,3,1,0
1,20,1.74,85,1,2,1,0
0,33,1.7,73,1,1,0,0
0,20,1.67,80.62,1,2,2,0
0,21,1.58,57,1,2,0,0
1,14,1.82,72,1,3,2,0
0,18,1.68,70,0,2,1,0
1,19,1.74,76,1,3,2,0
0,20,1.75,54.12,1,2,2,0
1,20,1.66,65,1,2,0,0
0,21,1.62,68.82,1,2,1,0
0,18,1.57,45,0,3,1,0
0,35,1.68,78,1,1,1,0
0,20,1.59,42,0,2,1,0
0,18,1.76,54.57,1,2,2,0
1,20,1.85,91,1,2,1,0
1,21,1.71,70,0,2,1,0
0,19,1.64,66,0,3,0,0
1,23,1.71,56,0,2,2,0
0,18,1.72,52,1,2,2,0
0,28,1.68,74,0,1,1,0
1,22,1.7,60,1,2,3,0
0,18,1.56,55,0,2,1,0
0,21,1.5,63,1,2,1,0
0,20,1.62,52,0,1,3,0
1,20,1.7,65,1,2,2,0
1,21,1.72,51.57,1,1,1,0
1,32,1.91,93.8,1,2,2,0
1,21,1.5,70,0,3,1,0
1,20,1.68,49.6,0,1,2,0
0,18,1.61,51,0,1,1,0
0,22,1.61,68.39,1,2,0,0
1,23,1.8,60,1,2,2,0
1,18,1.76,54.84,1,2,2,0
1,18,1.75,56.03,1,3,1,0
0,19,1.75,55,0,1,0,0
1,33,1.84,91.8,1,2,0,0
0,22,1.65,58,0,2,2,0
1,33,1.7,84,1,2,3,0
0,21,1.62,68.77,0,2,1,0
0,21,1.65,58,1,2,1,0
1,34,1.75,83,1,2,3,0
1,18,1.86,51.13,1,3,0,0
1,26,1.7,72,0,2,0,0
1,21,1.62,70,1,1,1,0
1,23,1.84,84,1,2,2,0
1,23,1.77,53.62,1,2,2,0
1,24,1.6,45,0,3,1,0
1,20,1.67,60,0,1,1,0
1,17,1.72,50,0,1,2,0
0,20,1.66,49.04,0,2,2,0
1,21,1.66,75,1,2,1,0
0,18,1.67,50,0,1,1,0
1,20,1.76,69.24,1,1,2,0
1,17,1.86,59.31,1,2,2,0
1,17,1.86,59.41,1,2,2,0
1,22,1.77,55.7,1,2,1,0
0,34,1.66,73.94,1,3,1,0
1,24,1.75,69,0,2,2,0
1,31,1.8,92,0,1,1,0
1,22,1.74,80,1,3,2,0
0,22,1.72,51.13,1,2,1,0
0,21,1.58,41.89,0,2,0,0
0,21,1.62,42,0,1,0,0
1,18,1.84,97.03,1,3,1,0
0,23,1.6,42,0,2,0,0
1,21,1.81,75.69,1,2,2,0
0,17,1.6,60,1,2,3,0
1,25,1.73,78.05,1,2,1,0
0,18,1.65,50,1,1,1,0
1,22,1.81,87.68,1,2,2,0
1,30,1.7,82,1,2,0,0
1,23,1.7,81.67,1,2,2,0
1,23,1.7,67,1,2,3,0
1,17,1.76,57.15,1,2,2,0
0,19,1.6,44.81,0,1,1,0
0,30,1.7,78,1,2,0,0
0,21,1.62,68.91,1,2,1,0
1,18,1.75,52.09,1,2,1,0
1,21,1.69,75,0,1,0,0
0,17,1.63,58,1,1,1,0
0,19,1.78,64.4,0,3,3,0
1,21,1.82,75,0,3,1,0
1,37,1.75,83.28,1,2,1,0
1,39,1.77,98.54,1,2,1,0
0,21,1.61,68.85,0,2,0,0
0,19,1.62,68,0,2,1,0
1,18,1.85,86.75,1,2,2,0
1,18,1.72,69,0,2,3,0
0,20,1.58,61.26,0,1,1,0
1,19,1.67,80.95,1,1,1,0
0,22,1.48,61.37,1,1,2,0
1,19,1.72,85.61,1,3,0,0
0,33,1.56,48,1,2,1,0
0,23,1.75,51.46,1,2,0,0
1,30,1.7,89.99,1,2,1,0
1,21,1.65,80.38,1,2,2,0
1,29,1.73,78.03,1,2,1,0
1,18,1.77,72,0,1,3,0
0,17,1.6,65,1,2,0,0
0,16,1.54,53,1,2,0,0
1,24,1.84,91.5,1,2,0,0
0,18,1.65,60,1,2,2,0
1,23,1.71,51.07,0,1,1,0
1,18,1.7,91.63,1,2,2,0
1,17,1.8,87,0,2,2,0
1,16,1.6,65,0,1,0,0
1,21,1.7,75,0,2,2,0
0,37,1.53,69.74,1,2,0,0
0,18,1.7,55,1,2,0,0
1,19,1.82,70,1,2,3,0
1,22,1.67,60,0,1,0,0
0,38,1.75,78,1,2,0,0
0,23,1.51,64.81,1,2,1,0
1,23,1.7,83,0,2,3,0
0,17,1.65,49,0,2,0,0
1,35,1.77,80,1,3,2,0
0,18,1.75,52,0,2,1,0
1,18,1.75,86,1,3,2,0
0,26,1.63,68.87,1,2,0,0
1,18,1.7,55,0,2,2,0
1,55,1.83,85,1,2,3,0
1,22,1.63,68,0,2,0,0
1,17,1.8,97,1,3,1,0
1,21,1.7,75,1,3,2,0
0,24,1.63,64,1,2,1,0
1,22,1.7,70,1,1,1,0
0,23,1.68,58,1,3,0,0
0,23,1.59,44.05,0,1,0,0
0,19,1.6,70,0,2,1,0
0,16,1.74,50,0,2,1,0
0,37,1.61,63.01,1,2,0,0
1,21,1.72,70,1,2,1,0
1,33,1.68,83,1,2,1,0
1,18,1.7,80,0,2,1,0
0,19,1.6,68.77,0,2,1,0
1,20,1.8,68,1,2,0,0
1,23,1.85,87.08,1,1,1,0
1,23,1.74,75,1,2,3,0
1,24,1.7,81.67,1,3,0,0
1,19,1.81,85.64,1,2,1,0
0,17,1.78,44.76,0,2,2,0
1,24,1.74,64,1,2,0,0
0,19,1.64,49,0,1,2,0
1,18,1.75,70,1,2,1,0
0,18,1.68,79.54,1,1,0,0
